"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","Hide","Notes"
"azure-cognitiveservices-vision-nspkg","3.0.1","","Cognitive Services Vision Namespace Package","Cognitive Services","https://github.com/Azure/azure-sdk-for-python/tree/azure-cognitiveservices-vision-nspkg_3.0.1/azure-cognitiveservices-vision-nspkg/","NA","NA","","",""
"azure-common","1.1.25","","Common","Core","core","NA","","","",""
"azure-communication-nspkg","","0.0.0b1","Communication Namespace Package","Communication","NA","","NA","","",""
"azure-core-tracing-opencensus","","1.0.0b6","Core Tracing Opencensus","Core","core","","","","",""
"azure-core-tracing-opentelemetry","","1.0.0b7","Core Tracing Opentelemetry","Core","core","","","","",""
"azure-data-nspkg","1.0.0","","Data Namespace Package","Data ","NA","","NA","","",""
"azure-devtools","1.2.0","","Dev Tools","Dev Tools","https://github.com/Azure/azure-python-devtools/tree/1.2.0/src/azure_devtools","NA","NA","","",""
"azure-digitaltwins-core","","1.0.0b1","Digital Twins Core","Digital Twins","NA","NA","","","",""
"azure-digitaltwins-nspkg","1.0.0","","Digital Twins Namespace Package","Digital Twins","NA","NA","NA","","",""
"azure-graphrbac","0.61.1","","Graph Role Based Access Control","Graph Role Based Access Control","graphrbac","https://docs.microsoft.com/python/api/overview/azure/graph-rbac","","","",""
"azure-keyvault","4.1.0","","Key Vault ","Key Vault","keyvault","NA","NA","","","Metapackage containing: azure-keyvault-keys<br/>azure-keyvault-secrets<br/>azure-keyvault-certificates"
"azure-keyvault-nspkg","1.0.0","","Key Vault Namespace Package","Key Vault","keyvault","NA","NA","","",""
"azure-loganalytics","0.1.0","","Log Analytics","Log Analytics","https://github.com/Azure/azure-sdk-for-python/tree/azure-loganalytics_0.1.0/azure-loganalytics/","NA","","","",""
"azure-mgmt","5.0.0","","Resource Management","Core","https://github.com/Azure/azure-sdk-for-python/tree/master/sdk/core/azure-mgmt","NA","NA","","",""
"azure-mgmt-advisor","4.0.0","","Resource Management - Advisor","Advisor","advisor","NA","","","",""
"azure-mgmt-alertsmanagement","0.1.0","","Resource Management - Alerts Management","Alerts Management","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-alertsmanagement_0.1.0/azure-mgmt-alertsmanagement/","NA","NA","","",""
"azure-mgmt-apimanagement","0.2.0","","Resource Management - API Management","API Management","apimanagement","NA","","","",""
"azure-mgmt-applicationinsights","0.3.0","","Resource Management - Application Insights","Application Insights","applicationinsights","NA","","","",""
"azure-mgmt-appplatform","1.0.0","","Resource Management - App Platform","App Platform","appplatform","NA","","","",""
"azure-mgmt-attestation","0.1.0","","Resource Management - Attestation","Attestation","attestation","NA","","","",""
"azure-mgmt-authorization","0.61.0","","Resource Management - Authorization","Authorization","authorization","https://docs.microsoft.com/python/api/overview/azure/authorization","","","",""
"azure-mgmt-automanage","","1.0.0b1","Resource Management - Automanage","Automanage","NA","","","","",""
"azure-mgmt-automation","0.1.1","","Resource Management - Automation","Automation","automation","NA","","","",""
"azure-mgmt-avs","0.1.0","","Resource Management - AVS","AVS","NA","","","","",""
"azure-mgmt-azurestack","0.1.0","","Resource Management - Azure Stack","Azure Stack","azurestack","NA","","","",""
"azure-mgmt-azurestackhci","1.0.0","1.0.0rc1","Resource Management - Azure Stack HCI","Azure Stack HCI","NA","NA","","","",""
"azure-mgmt-batch","9.0.0","","Resource Management - Batch","Batch","batch","https://docs.microsoft.com/python/api/overview/azure/batch","","","",""
